book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, VHDL을 이용한 디지털 회로 입문","나미키 히데아키 , 나가이 다카미치 ","김은성 , 이영희 ",2009-05-30,9788979146714
Make : 아두이노 DIY 프로젝트,"키모 카르비넨 , 테로 카르비넨 ",배지은 ,2014-01-02,9788968480737
만화로 보는 성차별의 역사,"솔다드 브라비 Soledad Bravi , 도로테 베르네르 Dorothée Werner ",맹슬기 ,2019-01-31,9791157843121
일자리 빅뱅이 다가온다,대럴 M. 웨스트 Darrell M. West ,김인수 ,2019-01-21,9791157843114
경제학자의 다이어트,"크리스토퍼 페인 , 롭 바넷 ",이윤진 ,2019-03-07,9791157843176
"IT CookBook, 아날로그 CMOS 집적회로 설계 : Design of Analog CMOS Integrated Circuits",버자드 라자비(Behzad Razavi) ,"김대정 , 이강윤 , 이종창 ",2009-05-15,9788979146721
미라클 모닝 밀리어네어,"할 엘로드 , 데이비드 오스본 ",이주만 ,2019-04-01,9791157843244
33가지 프로젝트로 배우는 아두이노,사이먼 몽크 ,윤진서 ,2014-05-20,9788968481000
"IT CookBook, 디지털 집적회로 해석 및 설계","데이비드 하지즈 , 호레스 잭슨 , 레스베 살레 ",김대정 ,2010-08-20,9788979147513
처음 시작하는 센서,"키모 카르비넨 , 테로 카르비넨 ",임지순 ,2015-02-25,9788968481697
일터의 품격,도나 힉스 ,이종민 ,2019-03-30,9791157843220
예의 바른  나쁜 인간,이든 콜린즈워스 ,한진영 ,2019-04-10,9791157843299
라즈베리 파이 쿡북,사이먼 몽크 ,"박경욱 , 백운혁 , 유시형 , 윤종우 ",2014-12-26,9788968481536
맨박스 Man Box (리커버 개정판),토니 포터 ,김영진 ,2019-05-22,9791157843350
시그널,피파 맘그렌 ,조성숙 ,2019-05-27,9791157843268
거절당하기 연습,지아 장 ,임지연 ,2017-01-24,9791157841684
"IT CookBook, 전기전자공학 개론(개정 5판)",Stan Gibilisco ,"권기영 , 윤석범 , 정영배 ",2013-02-11,9788998756017
"IT CookBook, 회로이론 : Circuits","Fawwaz T. Ulaby , Michel M. Maharbiz ","박병국 , 조성재 , 강인만 , 김중빈 ",2014-07-22,9791156641193
"IT CookBook, RF 및 초고주파 공학",카이 창(Kai Chang) ,홍익표 ,2014-03-12,9791156641063
고양이 부처는 고민이 없다냥,미야시타 마코토 ,김희은 ,2017-03-17,9791157841752
"IT CookBook, 전기전자공학 개론(개정 6판)","Stan Gibilisco , Simon Monk ","권기영 , 조성재 , 유태훈 ",2017-11-30,9791156643661
"자바 프로그래밍 면접, 이렇게 준비한다",노엘 마크엄 ,정원천 ,2015-01-23,9788968481529
"프로그래밍 면접, 이렇게 준비한다(3판)","존 몽건 , 에릭 기게리 , 노아 수요야넨 킨들러 ",서환수 ,2014-02-28,9788968480843
코딩의 기술 : C와 C++ 게임 코드로 알아보는,오즈 모리하루 ,윤인성 ,2016-03-28,9788968482694
Designing Web Navigation : 사용자 경험 최적화를 위한 웹 내비게이션 설계 원칙,제임스 콜백 ,김소영 ,2008-03-01,9788979145588
멀티 디바이스 UX 디자인 : 사물인터넷 생태계 경험을 지배하는 3가지 핵심 원리,미할 레빈 ,이미령 ,2014-11-12,9788968481307
"IT CookBook, 통신시스템의 기초 : Fundamentals of Communications Systems",마이클 피츠 ,"고균병 , 이종형 , 장은영 , 홍대기 ",2009-03-09,9788979146554
모던 웹을 위한 실시간 사용자 경험(UX) 프로그래밍: 웹사이트에 인터랙티브를 더하는 마술,테드 로덴 ,백기선 ,2012-05-04,9788979149159
slide:ology - 위대한 프레젠테이션을 만드는 예술과 과학,낸시 두아르떼(Nancy Duarte) ,서환수 ,2010-03-08,9788979147308
"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller ,"곽경섭 , 고영채 ",2016-01-04,9791156642084
회사에서 바로 통하는 엑셀 비즈니스 데이터 분석,히바나 히로코(日花弘子) ,"최수진 , 최준선 ",2006-03-03,8979143869
사전처럼 바로 찾아 쓰는 자바7 : 기본부터 심화까지 해결하는 문제 해결의 길잡이,조시 주노 외 3인 ,백기선 외 8인 ,2013-10-28,9788968480546
미적분학,"Carol Ash , Robert B. Ash ","김광수 , 최형규 ",2016-01-21,9791156642343
28일 동안 배우는 리눅스 서버 관리,카사노 히데마츠 ,김성재 ,2014-09-28,9788968481215
리눅스 시스템 프로그래밍(개정2판) : 커널과 C 라이브러리로 풀어가는(리눅스 3.x 최신 커널 기반),로버트 러브 ,김영근 ,2014-12-26,9788968481482
자바7 NIO.2: 파일&네트워크 프로그래밍,앵겔 레너드 ,조태현 ,2012-06-28,9788979149319
"리눅스 커널의 이해, 개정 3판","다니엘 보베이 , 마르코 체사티 ",박장수 ,2006-09-28,8979144326
우분투 환경에서 C 언어로 배우는 리눅스 프로그래밍,이이오 준 ,김성재 ,2012-09-24,9788979149531
Head First Servlets & JSP(개정판) : 상상력을 자극하는 몰입의 학습법,"케이시 시에라 , 버트 베이츠 , 브라얀 바샴 ",김종호 ,2009-02-02,9788979146639
"자바 8 인 액션 : 람다, 스트림, 함수형 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",우정은 ,2015-03-19,9788968481796
자바 퍼즐러 : 세상에서 가장 재미있는 자바 책,"조슈아 블로크 , 닐 개프터 ",윤인성 ,2014-12-27,9788968481444
Head First Java: 뇌 회로를 자극하는 자바 학습법(개정판),"케이시 시에라 , 버트 베이츠 ",서환수 ,2005-11-16,8979143710
Head First Design Patterns: 스토리가 있는 패턴 학습법,"에릭 프리먼 , 엘리자베스 프리먼 , 케이시 시에라 , 버트 베이츠 ",서환수 ,2005-08-22,8979143400
"모던 자바 인 액션 : 람다, 스트림, 함수형, 리액티브 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",우정은 ,2019-08-01,9791162242025
유닉스 리눅스 셸 스크립트 예제 사전,오스미 유스케 ,서수환 ,2015-08-27,9788968482137
UNIX V6로 배우는 커널의 원리와 구조 : 고전으로 익히는 운영체제,아오야기 타카히로 ,조만석 ,2014-05-28,9788968480966
Elemental Design Patterns : 객체지향과 디자인 패턴의 연결 고리,제이슨 맥컴 스미스 ,김지원 ,2013-05-02,9788968480140
리팩토링: 코드 품질을 개선하는 객체지향 사고법,마틴 파울러 ,김지원 ,2012-11-01,9788979149715
Head First HTML5 Programming: 웹 표준으로 만드는 생동감 있는 웹 애플리케이션,"에릭 프리먼 , 엘리자베스 롭슨 ",홍형경 ,2012-07-28,9788979149326
Head First HTML and CSS(개정판) : HTML5를 적용한 웹 제작 지침서,"엘리자베스 롭슨 , 에릭 프리먼 ","홍형경 , 우재남 ",2013-04-11,9788968480126
Head First PHP & MySQL: 효과적이고 생동감 넘치는 웹 애플리케이션 만들기,"린 베일리 , 마이클 모리슨 공저 ",홍승표 ,2010-05-07,9788979147391
"Modern PHP: 네임스페이스, 트레이트, 클로저부터 모범 사례와 최신 도구까지",조시 록하트 ,정병열 ,2015-10-15,9788968482250
읽기 좋은 코드가 좋은 코드다: 더 나은 코드를 작성하는 간단하고 실전적인 테크닉,"더스틴 보즈웰 , 트레버 파우커 ",임백준 ,2012-04-26,9788979149142
읽기 좋은 자바스크립트 코딩 기법: 유지보수가 쉬운 코드로 팀의 생산성을 높이자,니콜라스 자카스 ,김광호 ,2013-01-26,9788979149883
"모던 웹을 요리하는 초간편 HTML5 Cookbook : 자바스크립트 API, 로컬 저장소, 접근성, 지오로케이션","크리스토퍼 슈미트 , 카일 심슨 ",한선용 ,2012-08-17,9788979149401
사전처럼 바로 찾아 쓰는 HTML5 핵심 API,하타노 후토미 ,윤준 ,2011-12-01,9788979148732
Effective Unit Testing : 클린 코드와 좋은 설계를 이끄는 단위 테스트,라쎄 코스켈라 ,이복연 ,2013-11-11,9788968480621
프로젝트로 배우는 HTML5+자바스크립트,지닌 마이어 ,김지원 ,2012-06-22,9788979149241
PHP 보안: 몇 줄의 코드로 안전하게,크리스 쉬플릿 ,한동훈 ,2006-03-07,8979143877
HTML5 Canvas : 웹의 한계를 캔버스로 뛰어 넘는다,"스티브 펄튼 , 제프 펄튼 ","이수진 , 이성희 ",2012-01-09,9788979148985
더 나은 프로그래밍을 위한 코드골프 : 즐기면서 배우는 자바스크립트 코드 퍼즐과 알고리즘,야나이 마사카즈 ,"손정도 , 김정현 ",2015-01-28,9788968481673
SQL 첫걸음: 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기,아사이 아츠시 ,박준용 ,2015-10-26,9788968482311
훌륭한 프로그래머 되는 법 : 프로젝트와 팀을 성공으로 이끄는 선배 개발자의 노하우,피트 구들리프 ,"최원재 , 강전희 , 안재덕 , 남윤화 ",2015-12-04,9788968482304
한 번에 배우는 HTML5+자바스크립트,지닌 마이어 ,김지원 ,2011-05-22,9788979148268
Head First SQL : 효율적인 DB 관리를 위한 SQL 학습법,린 베일리 ,박종걸 ,2008-05-28,9788979145601
웹 표준 가이드: HTML5 + CSS3,존 앨섭(John Allsopp) ,"김지원 , 홍승표 ",2010-11-25,9788979147940
모던 웹을 위한 HTML5 웹소켓 프로그래밍,"바네사 왕 , 프랭크 살림 , 피터 모스코비츠 ",김지원 ,2013-07-24,9788968480317
Programming Challenges: 알고리즘 트레이닝 북,"스티븐 스키에나 , 미구엘 레비야 ",서환수 ,2004-07-14,8979142889
더글라스 크락포드의 자바스크립트 핵심 가이드,더글라스 크락포드(Douglas Crockford) ,김명신 ,2008-09-26,9788979145984
SQL 레벨업 : DB 성능 최적화를 위한 SQL 실전 가이드,미크 ,윤인성 ,2016-01-22,9788968482519
Head First JavaScript Programming : 게임과 퍼즐로 배우는 자바스크립트 입문서,"에릭 프리먼 , 엘리자베스 롭슨 ",강권학 ,2015-01-27,9788968481567
자바스크립트 자료구조와 알고리즘 : 구조적이고 효율적인 자바스크립트 프로그래밍 기법 익히기,마이클 맥밀런 ,우정은 ,2014-08-28,9788968481222
Head First HTML with CSS & XHTML : 웹2.0 시대의 웹 표준 학습법,"에릭 프리먼 , 엘리자베스 프리먼 ",홍형경 ,2006-05-28,8979144105
자바스크립트를 말하다 : 가장 간결하면서도 완벽한 자바스크립트 입문서,악셀 라우슈마이어 ,한선용 ,2014-09-12,9788968481192
데이터베이스 첫걸음,"미크 , 기무라 메이지 ",박주항 ,2016-10-10,9788968487316
TopCoder 탑코더 알고리즘 트레이닝,타카하시 나오히로 ,윤인성 ,2013-10-28,9788968480553
프로그래머로 사는 법: 프로그래머의 길을 걸어가는 당신을 위한 안내서,샘 라이트스톤 ,서환수 ,2012-10-17,9788979149623
함수형 자바스크립트 : 새롭고 올바른 자바스크립트 프로그래밍 기법,마이클 포거스 ,우정은 ,2014-01-28,9788968480799
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV3. 제대로 된 파이썬 앱 만들기",크리스 로피 ,"이지호 , 유형목 ",2015-11-06,9788968482335
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV1. 모두를 위한 파이썬 기초",크리스 로피 ,유형목 ,2015-08-26,9788968482168
사전처럼 바로 찾아 쓰는 알고리즘,"조지 T. 하인만 , 게리 폴리케 , 스탠리 셀코 ",전경원 ,2010-03-08,9788979147292
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV2. 본격 파이썬 입문",크리스 로피 ,"이지호 , 유형목 ",2015-08-26,9788968482175
"jQuery 최고의 교과서 : 디자이너, 퍼블리셔, 개발자를 위한 처음 시작하는 제이쿼리",주식회사 시프트브레인 ,송태민(어비) ,2015-01-28,9788968481574
The Art of Computer Programming 1: 기초 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2006-09-28,9788979144307
자바스크립트 성능 최적화: High Performance JavaScript,니콜라스 자카스 ,한선용 ,2011-09-15,9788979148558
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV4. 파이썬 프로그래밍 아트",크리스 로피 ,유형목 ,2016-09-28,9788968484797
드림팀의 악몽: 산으로 가는 팀 프로젝트를 바로잡는 애자일 코칭법,포샤 텅 ,김광호 ,2014-05-16,9788968480973
The Art of Computer Programming 2: 준수치적 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2007-09-14,9788979144840
The Art of Computer Programming 3: 정렬과 검색(개정 2판),도널드 커누스(Donald E. Knuth)) ,류광 ,2008-01-01,9788979145496
"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 ","문병로 , 심규석 , 이충세 ",2014-07-10,9791156641131
대학생을 위한 파이썬 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,크리스 로피 ,"이지호 , 유형목 ",2016-01-26,9788968482540
Head First jQuery: 자바스크립트를 몰라도 배울 수 있는 제이쿼리,"라이언 베네디티 , 로넌 크랜리 ",한선용 ,2012-05-24,9788979149203
The Art of Computer Programming 4A 컴퓨터 프로그래밍의 예술: 조합적 알고리즘 1부,도널드 커누스(Donald E. Knuth) ,류광 ,2013-08-19,9788968480287
jQuery Mobile(개정판),존 라이드 ,한선용 ,2012-01-19,9788979149067
"Head First PMP : 체계적인 프로젝트 관리를 위한 국제 공인 학습법 (개정3판, PMBOK® 지침서 5판 시험대비용)","제니퍼 그린 , 앤드류 스텔만 ","한동환 , 김기평 ",2014-09-12,9788968481154
"자바스크립트 웹 애플리케이션 : 제이쿼리, Node.js, 웹소켓, 스파인, 백본, 자바스크립트MVC",알렉스 맥카우 ,우정은 ,2012-06-18,9788979149258
처음 시작하는 파이썬: 파이썬 패키지를 활용한 모던 컴퓨팅 입문,빌 루바노빅 ,최길우 ,2015-12-04,9788968482397
프로그래밍 스칼라,"딘 왐플러 , 알렉스 페인 ",오현석 ,2016-06-01,9788968482755
클라이언트-서버 웹 앱 만들기: 자바와 자바스크립트로 배우는 모던 웹 앱 개발,캐지미어 새터노스 ,김은정 ,2014-10-17,9788968481345
풀스택 개발자를 위한 MEAN 스택 입문,"애덤 브레츠 , 콜린 J. 이릭 ",박재호 ,2015-08-27,9788968482182
"MySQL Troubleshooting : 쿼리 문제, 원인을 알면 해결은 쉽다",스베타 스머노바(Sveta Smirnova) ,강권학 ,2013-02-07,9788979149999
"Head First Agile : 개념부터 시험 대비까지, 가장 애자일다운 안내서","앤드류 스텔만 , 제니퍼 그린 ",박현철 ,2019-08-01,9791162242018
Head First Python : 머리에 쏙쏙 들어오는 파이썬 안내서(수정판),폴 베리 ,강권학 ,2016-03-28,9788968482724
Head First JavaScript : 대화형 웹 애플리케이션의 시작,마이클 모리슨 ,홍형경 ,2008-07-01,9788979145823
브루스 테이트의 세븐 랭귀지 : 프로그래머라면 알아야 할 미래를 품은 7가지 언어,브루스 테이트 ,임백준 ,2015-04-27,9788968481857
Head First C# : 상상을 초월하는 객체지향 C# 학습법(개정3판),"앤드류 스텔만 , 제니퍼 그린 ",최길우 ,2015-02-27,9788968481659
The Nature of Software Development,론 제프리스 ,이기곤 ,2016-12-31,9788968484650
"MongoDB 몽고디비 완벽 가이드 : 페이스북, 트위터가 선택한 NoSQL의 진수를 만나다! (개정2판)",크리스티나 초도로우 ,"이승구 , 김인범 ",2014-04-24,9788968480959
전문가를 위한 C++ : C++ 11을 대하는 유쾌한 방법(개정판 2권),"마크 그레고리 , 니콜라스 솔터 , 스캇 클레퍼 ",권오인 ,2013-10-17,9788968480393
전문가를 위한 C++ : C++ 11을 대하는 유쾌한 방법(개정판 1권),"마크 그레고리 , 니콜라스 솔터 , 스캇 클레퍼 ",권오인 ,2013-10-17,9788968480386
"하이브리드 앱을 구현하는 기술 : HTML5, 자바스크립트, 코도바(폰갭)로 만드는 안드로이드와 iOS 앱 개발","구보타 미츠노리 , 아시알 주식회사 ",김성재 ,2015-02-17,9788968481680
애자일 개발과 스크럼 : 더 나은 자신과 팀을 위한 소프트웨어 개발 방법,"노나카 이쿠지로 , 히라나베 겐지 ",이명교 ,2014-07-28,9788968481109
HBase 완벽 가이드: 하둡 환경에서 실시간 빅데이터 랜덤 엑세스를 제공하는 클라우드 NoSQL,라스 조지 ,이진석 ,2013-01-26,9788979148381
"한 권으로 끝내는 Node & Express(Node 4, Express 4 테스트 완료)",이선 브라운 ,한선용 ,2015-10-24,9788968482229
Hello Coding 그림으로 개념을 이해하는 알고리즘,아디트야 바르가바 ,김도형 ,2017-04-01,9788968483547
맵리듀스 디자인 패턴 : 하둡과 빅데이터에 효과적인 6가지 방법론과 26가지 실용 패턴,"도널드 마이너 , 아담 슈크 ","이주열 , 오석근 ",2013-07-24,9788968480348
파이썬 라이브러리를 활용한 데이터 분석(수정보완판),웨스 맥키니(Wes Mckinney) ,김영근 ,2013-10-26,9788968480478
전문가를 위한 C++(개정3판),마크 그레고리 ,권오인 ,2016-11-04,9788968484858
머하웃 완벽 가이드(Mahout in Action): 하둡에 딱 맞는 빅데이터를 활용한 기계학습,"션 오웬 , 로빈 애닐 , 테드더닝 , 엘렌 프리드만 ",안태성 ,2012-10-23,9788979149609
프로그래머 첫걸음,코리 알트호프 ,한선용 ,2018-01-02,9791162240380
실시간 분석의 모든 것: 스트리밍 데이터 분석 및 시각화 시스템 구축 가이드,바이런 엘리스 ,이상훈 ,2015-12-11,9788968482298
"Head First Python, 개정판",폴 배리 ,우정은 ,2017-12-04,9791162240281
러닝 자바스크립트,이선 브라운 ,한선용 ,2017-07-01,9788968483387
MongoDB 활용 가이드: 스케일링과 50가지 팁,크리스티나 초도로우 ,이진석 ,2011-12-09,9788979148862
전문가를 위한 C++(개정4판),마크 그레고리 ,남기혁 ,2019-08-20,9791162242087
R로 배우는 데이터 분석 기본기 데이터 시각화 : 예제와 함수 중심으로 배우는 빅데이터 분석,후나오 노부오 ,김성재 ,2014-01-02,9788968480645
실전 하둡 운용 가이드 : 대규모 하둡 클러스터 관리를 위한 필수 노하우,에릭 새머 ,장형석 ,2013-07-24,9788968480300
하둡 완벽 가이드 : 클라우드 컴퓨팅 구축을 위한 실전 안내서(개정3판),톰 화이트 ,"심탁길 , 김우현 ",2013-06-22,9788968480201
하이브 완벽 가이드: 하둡을 이용한 SQL 기반 빅데이터 분석 도구,"에드워드 카프리올로 , 딘 웜플러 , 제이슨 러더글렌 ",오세봉 외 ,2013-03-28,9788968480072
Head First Data Analysis : 당신을 최고의 데이터 분석가로 이끌어줄 마법 같은 학습서,마이클 밀튼 ,김경태 ,2013-04-11,9788968480119
만들면서 배우는 기계 학습: 생각을 만드는 빅데이터 기술,오다카 토모히로 ,김성재 ,2012-06-18,9788979149234
비즈니스 활용 사례로 배우는 데이터 분석:R,"사카마키 류지 , 사토 요헤이 ",손정도 ,2015-10-28,9788968482113
파이썬을 활용한 베이지안 통계: 동전 던지기와 하키 승률로 배우는 데이터 분석,앨런 B. 다우니 ,권정민 ,2014-07-14,9788968481147
데이터 시각화를 위한 데이터 인사이트 : 빅데이터를 바라보는 통찰의 눈,헌터 휘트니 ,한선용 ,2014-04-18,9788968480942
파이썬 라이브러리를 활용한 데이터 분석(2판),웨스 맥키니 ,김영근 ,2019-05-20,9791162241905
만약 헤밍웨이가 자바스크립트로 코딩한다면,앵거스 크롤 ,김나솔 ,2016-11-04,9788968484742
케스케이딩 완벽 가이드 : 빅데이터 분석을 위한 하둡 워크플로우 관리 도구,파코 네이선 ,"오세봉 , 장정호 ",2014-01-17,9788968480775
MongoDB 완벽 가이드 : NoSQL의 진수를 만나다!,"크리스티나 초도로우 , 마이클 디롤프 ",윤진석 ,2011-05-19,9788979148251
하둡 완벽 가이드(4판),톰 화이트 ,"장형석 , 장정호 , 임상배 , 김훈동 ",2017-03-01,9788968484599
엔지니어를 위한 데이터 시각화 :  D3.js로 배우는 데이터 시각화 이론과 12가지 사례,"모리후지 다이치 , 안티베이지안 ",김성재 ,2015-04-27,9788968481918
데이터 분석을 통한 네트워크 보안 : IoT 시대에 맞는 상황 인식형 보안 구축하기,마이클 콜린스 ,문성건 ,2016-03-28,9788968482588
비즈니스를 위한 데이터 과학 : 빅데이터를 바라보는 데이터 마이닝과 분석적 사고,"포스터 프로보스트 , 톰 포셋 ",강권학 ,2014-06-24,9788968481093
자바로 배우는 핵심 자료구조와 알고리즘,앨런 B. 다우니 ,유동환 ,2018-06-01,9791162240847
"데이터과학 입문: 구글, MS, 이베이 데이터과학자에게 배우다","레이철 슈트 , 캐시 오닐 ","윤영민 , 허선 , 전희주 , 김정일 , 류자현 ",2014-10-28,9788968481352
Think Stats : 프로그래머를 위한 통계 및 데이터 분석 방법,앨런 B. 다우니 ,김석우 ,2013-09-03,9788968486340
Head First Statistics: 실생활 예제로 배우는 정말 쉬운 통계 이야기,돈 그리피스 ,임백준 ,2012-04-26,9788979147278
나의 첫 파이썬,에릭 마테스 ,한선용 ,2017-05-01,9788968483561
클라우드 시스템을 관리하는 기술,"토머스 리몬첼리 , 스트래터 체일럽 , 크리스티나 호건 ",류광 ,2016-02-25,9788968482618
초보자를 위한 안드로이드 스튜디오 : Hello World부터 채팅 앱과 벽돌깨기 게임까지,마츠오카 겐지 ,김성재 ,2016-01-22,9788968482564
Head First C : 내공 있는 C 프로그래머로 이끌어주는 착한 안내서,"데이빗 그리피스 , 돈 그리피스 ",강권학 ,2012-11-08,9788979149760
